index,server_seq,client_seq,tx_ms,rx_ms,rtt_ms,applied_ms,delay_ms,master_x_m,master_y_m,master_z_m,slave_x_m,slave_y_m,slave_z_m
1,20519,203717,20628.563100,20629.563200,1.000100,21051.028800,421.412,-0.025261,-0.032120,0.011044,-0.033335,-0.028478,0.009222
2,20520,203718,20629.563200,20630.563600,1.000400,20959.771800,328.382,-0.025215,-0.032130,0.011070,-0.033315,-0.028514,0.009198
3,20521,203719,20630.563600,20631.564800,1.001200,20951.769800,320.164,-0.025210,-0.032131,0.011130,-0.033315,-0.028514,0.009198
4,20522,203720,20631.564800,20632.566100,1.001300,20914.746400,281.442,-0.025210,-0.032131,0.011130,-0.033295,-0.028550,0.009175
5,20523,203721,20632.566100,20633.566300,1.000200,21060.029800,426.348,-0.025163,-0.032142,0.011156,-0.033272,-0.028628,0.009163
6,20524,203722,20633.566300,20634.566400,1.000100,20947.766000,312.877,-0.025205,-0.032132,0.011189,-0.033255,-0.028622,0.009127
7,20525,203723,20634.566400,20635.566700,1.000300,21070.034400,433.802,-0.025158,-0.032143,0.011216,-0.033235,-0.028658,0.009103
8,20526,203724,20635.566700,20636.566800,1.000100,21133.066000,495.894,-0.025200,-0.032133,0.011249,-0.033232,-0.028700,0.009115
9,20527,203725,20636.566800,20637.567000,1.000200,21066.033700,427.847,-0.025154,-0.032144,0.011275,-0.033212,-0.028737,0.009091
10,20528,203726,20637.567000,20638.567300,1.000300,21037.020700,398.335,-0.025154,-0.032144,0.011275,-0.033209,-0.028779,0.009103
11,20529,203727,20638.567300,20639.567400,1.000100,21031.017800,391.439,-0.025149,-0.032145,0.011335,-0.033189,-0.028815,0.009079
12,20530,203728,20639.567400,20640.567600,1.000200,20927.757600,286.795,-0.025103,-0.032155,0.011362,-0.033169,-0.028851,0.009056
13,20531,203729,20640.567600,20641.567800,1.000200,21114.054900,471.990,-0.025144,-0.032146,0.011395,-0.033165,-0.028893,0.009067
14,20532,203730,20641.567800,20642.568100,1.000300,20958.771100,315.756,-0.025098,-0.032156,0.011421,-0.033145,-0.028929,0.009044
15,20533,203731,20642.568100,20643.569000,1.000900,20999.852400,355.554,-0.025093,-0.032157,0.011481,-0.033126,-0.028965,0.009020
16,20534,203732,20643.569000,20644.569200,1.000200,21127.061600,482.418,-0.025093,-0.032157,0.011481,-0.033126,-0.028965,0.009020
17,20535,203733,20644.569200,20645.569700,1.000500,20963.774500,317.347,-0.025089,-0.032158,0.011541,-0.033106,-0.029001,0.008996
18,20536,203734,20645.569700,20646.569900,1.000200,20917.748300,270.935,-0.025042,-0.032169,0.011567,-0.033102,-0.029043,0.009008
19,20537,203735,20646.569900,20647.571400,1.001500,21023.014700,375.371,-0.025037,-0.032170,0.011627,-0.033082,-0.029080,0.008984
20,20538,203736,20647.571400,20648.571700,1.000300,21059.029800,409.596,-0.025079,-0.032161,0.011661,-0.033079,-0.029122,0.008996
21,20539,203737,20648.571700,20649.571900,1.000200,21007.854000,357.371,-0.025028,-0.032172,0.011747,-0.033059,-0.029158,0.008972
